,Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
2189,Senior Process Associate ,KocharTech,0-11yrs  ,"3,71,580",1.6,4.5,3.9,128
2190,Software Engineer ,KocharTech,0-8yrs  ,"2,44,825",15.0,4.5,3.9,128
2191,Process Associate ,KocharTech,0-9yrs  ,"1,90,963",50.0,7.1,3.9,128
2192,Software Developer ,KocharTech,0-9yrs  ,"2,79,498",1.2,4.0,3.9,128
2193,System Engineer Hardware ,KocharTech,0-6yrs  ,"3,46,244",2.5,4.2,3.9,128
2194,System Engineer ,Dilip-Buildcon,0-10yrs  ,"6,96,594",4.0,10.9,4.1,127
2195,IT Analyst ,Dilip-Buildcon,3-11yrs  ,"4,02,289",2.0,6.0,4.1,127
2196,AST Consultant ,Dilip-Buildcon,6-15yrs  ,"3,46,868",2.1,4.7,4.1,127
2197,Assistant System Engineer ,Dilip-Buildcon,0-4yrs  ,"2,34,970",1.1,3.5,4.1,127
2198,Associate Consultant ,Dilip-Buildcon,4-21yrs  ,"3,49,857",2.0,5.0,4.1,127
2199,Senior Process Associate ,Dilip-Buildcon,0-11yrs  ,"4,67,287",2.9,6.5,4.1,127
2200,Software Engineer ,Dilip-Buildcon,0-8yrs  ,"3,47,115",2.4,4.5,4.1,127
2201,Process Associate ,Dilip-Buildcon,0-9yrs  ,"3,05,665",1.9,4.2,4.1,127
2202,Software Developer ,Dilip-Buildcon,0-9yrs  ,"3,03,682",1.8,4.5,4.1,127
2203,System Engineer Hardware ,Dilip-Buildcon,0-6yrs  ,"4,58,071",2.5,6.4,4.1,127
2204,System Engineer ,Huawei-Technologies,0-10yrs  ,"6,07,245",1.7,11.2,4.2,127
2205,IT Analyst ,Huawei-Technologies,3-11yrs  ,"7,63,160",2.5,13.6,4.2,127
2206,AST Consultant ,Huawei-Technologies,6-15yrs  ,"6,05,114",2.0,11.2,4.2,127
2207,Assistant System Engineer ,Huawei-Technologies,0-4yrs  ,"13,34,537",6.3,20.0,4.2,127
2208,Associate Consultant ,Huawei-Technologies,4-21yrs  ,"4,91,619",2.3,8.0,4.2,127
2209,Senior Process Associate ,Huawei-Technologies,0-11yrs  ,"12,79,164",3.3,18.2,4.2,127
2210,Software Engineer ,Huawei-Technologies,0-8yrs  ,"3,94,731",2.1,5.0,4.2,127
2211,Process Associate ,Huawei-Technologies,0-9yrs  ,"6,34,669",2.0,15.4,4.2,127
2212,Software Developer ,Huawei-Technologies,0-9yrs  ,"4,16,830",2.4,8.0,4.2,127
2213,System Engineer Hardware ,Huawei-Technologies,0-6yrs  ,"14,88,479",5.3,22.0,4.2,127
2214,System Engineer ,Jubilant-Foods-Works,0-10yrs  ,"5,06,073",2.8,7.5,4.0,126
2215,IT Analyst ,Jubilant-Foods-Works,3-11yrs  ,"5,31,771",3.3,7.4,4.0,126
2216,AST Consultant ,Jubilant-Foods-Works,6-15yrs  ,"3,52,752",1.9,4.6,4.0,126
2217,Assistant System Engineer ,Jubilant-Foods-Works,0-4yrs  ,"7,07,030",5.0,9.0,4.0,126
2218,Associate Consultant ,Jubilant-Foods-Works,4-21yrs  ,"2,61,919",1.4,4.0,4.0,126
2219,Senior Process Associate ,Jubilant-Foods-Works,0-11yrs  ,"4,82,604",2.9,7.2,4.0,126
2220,Software Engineer ,Jubilant-Foods-Works,0-8yrs  ,"10,43,997",6.2,13.5,4.0,126
2221,Process Associate ,Jubilant-Foods-Works,0-9yrs  ,"13,46,186",6.5,21.0,4.0,126
2222,Software Developer ,Jubilant-Foods-Works,0-9yrs  ,"1,68,485",80.0,4.5,4.0,126
2223,System Engineer Hardware ,Jubilant-Foods-Works,0-6yrs  ,"1,85,042",15.0,15.0,4.0,126
2224,System Engineer ,KPIT-Technologies,0-10yrs  ,"11,00,812",4.5,18.0,3.9,126
2225,IT Analyst ,KPIT-Technologies,3-11yrs  ,"6,30,147",2.0,14.0,3.9,126
2226,AST Consultant ,KPIT-Technologies,6-15yrs  ,"14,27,028",5.5,26.0,3.9,126
2227,Assistant System Engineer ,KPIT-Technologies,0-4yrs  ,"6,69,474",2.2,14.0,3.9,126
2228,Associate Consultant ,KPIT-Technologies,4-21yrs  ,"4,53,476",2.0,9.5,3.9,126
2229,Senior Process Associate ,KPIT-Technologies,0-11yrs  ,"19,46,697",9.1,30.0,3.9,126
2230,Software Engineer ,KPIT-Technologies,0-8yrs  ,"10,48,567",5.2,14.5,3.9,126
2231,Process Associate ,KPIT-Technologies,0-9yrs  ,"6,61,379",2.0,16.0,3.9,126
2232,Software Developer ,KPIT-Technologies,0-9yrs  ,"5,45,086",2.1,8.0,3.9,126
2233,System Engineer Hardware ,KPIT-Technologies,0-6yrs  ,"7,88,865",4.0,11.8,3.9,126
2234,System Engineer ,UPL,0-10yrs  ,"4,93,728",2.0,7.0,3.5,125
2235,IT Analyst ,UPL,3-11yrs  ,"4,29,435",2.1,6.5,3.5,125
2236,AST Consultant ,UPL,6-15yrs  ,"6,05,039",3.0,9.9,3.5,125
2237,Assistant System Engineer ,UPL,0-4yrs  ,"3,27,312",1.5,5.0,3.5,125
2238,Associate Consultant ,UPL,4-21yrs  ,"3,99,131",2.0,6.5,3.5,125
2239,Senior Process Associate ,UPL,0-11yrs  ,"2,65,091",1.5,4.2,3.5,125
2240,Software Engineer ,UPL,0-8yrs  ,"1,56,680",1.0,2.8,3.5,125
2241,Process Associate ,UPL,0-9yrs  ,"8,69,181",5.7,16.0,3.5,125
2242,Software Developer ,UPL,0-9yrs  ,"2,84,419",1.5,4.2,3.5,125
2243,System Engineer Hardware ,UPL,0-6yrs  ,"6,89,274",4.0,9.3,3.5,125
2244,System Engineer ,Lava-International,0-10yrs  ,"7,88,022",3.3,13.0,4.0,125
2245,IT Analyst ,Lava-International,3-11yrs  ,"3,63,140",2.5,5.0,4.0,125
2246,AST Consultant ,Lava-International,6-15yrs  ,"3,09,889",2.0,4.5,4.0,125
2247,Assistant System Engineer ,Lava-International,0-4yrs  ,"2,07,775",15.0,4.0,4.0,125
2248,Associate Consultant ,Lava-International,4-21yrs  ,"9,17,713",5.5,12.2,4.0,125
2249,Senior Process Associate ,Lava-International,0-11yrs  ,"2,98,051",2.1,3.6,4.0,125
2250,Software Engineer ,Lava-International,0-8yrs  ,"5,31,221",3.0,8.3,4.0,125
2251,Process Associate ,Lava-International,0-9yrs  ,"4,84,771",3.3,6.4,4.0,125
2252,Software Developer ,Lava-International,0-9yrs  ,"16,44,592",10.5,20.5,4.0,125
2253,System Engineer Hardware ,Lava-International,0-6yrs  ,"3,12,588",1.0,10.3,4.0,125
2254,System Engineer ,Apollo-Tyres,0-10yrs  ,"4,80,617",1.3,10.0,4.4,123
2255,IT Analyst ,Apollo-Tyres,3-11yrs  ,"2,86,104",1.0,5.5,4.4,123
2256,AST Consultant ,Apollo-Tyres,6-15yrs  ,"8,05,944",5.0,11.0,4.4,123
2257,Assistant System Engineer ,Apollo-Tyres,0-4yrs  ,"6,83,495",3.9,9.6,4.4,123
2258,Associate Consultant ,Apollo-Tyres,4-21yrs  ,"7,96,985",4.1,10.8,4.4,123
2259,Senior Process Associate ,Apollo-Tyres,0-11yrs  ,"2,09,433",60.0,5.5,4.4,123
2260,Software Engineer ,Apollo-Tyres,0-8yrs  ,"3,64,241",1.6,7.2,4.4,123
2261,Process Associate ,Apollo-Tyres,0-9yrs  ,"2,44,322",1.4,3.3,4.4,123
2262,Software Developer ,Apollo-Tyres,0-9yrs  ,"1,54,269",9.0,3.1,4.4,123
2263,System Engineer Hardware ,Apollo-Tyres,0-6yrs  ,"6,18,473",3.5,8.6,4.4,123
2264,System Engineer ,Reliance-SMSL,0-10yrs  ,"3,19,338",1.8,4.8,4.1,123
2265,IT Analyst ,Reliance-SMSL,3-11yrs  ,"2,85,698",1.9,4.0,4.1,123
2266,AST Consultant ,Reliance-SMSL,6-15yrs  ,"2,69,896",1.2,4.0,4.1,123
2267,Assistant System Engineer ,Reliance-SMSL,0-4yrs  ,"2,32,076",1.2,3.6,4.1,123
2268,Associate Consultant ,Reliance-SMSL,4-21yrs  ,"3,44,907",1.0,5.6,4.1,123
2269,Senior Process Associate ,Reliance-SMSL,0-11yrs  ,"2,30,584",70.0,3.4,4.1,123
2270,Software Engineer ,Reliance-SMSL,0-8yrs  ,"2,03,577",1.0,4.0,4.1,123
2271,Process Associate ,Reliance-SMSL,0-9yrs  ,"1,80,385",1.1,2.5,4.1,123
2272,Software Developer ,Reliance-SMSL,0-9yrs  ,"4,36,980",2.5,6.0,4.1,123
2273,System Engineer Hardware ,Reliance-SMSL,0-6yrs  ,"3,21,021",2.2,4.3,4.1,123
2274,System Engineer ,Tata-AIG,0-10yrs  ,"4,46,156",1.8,8.0,3.9,122
2275,IT Analyst ,Tata-AIG,3-11yrs  ,"4,34,944",1.8,8.0,3.9,122
2276,AST Consultant ,Tata-AIG,6-15yrs  ,"3,89,155",2.2,9.0,3.9,122
2277,Assistant System Engineer ,Tata-AIG,0-4yrs  ,"6,69,715",2.0,11.0,3.9,122
2278,Associate Consultant ,Tata-AIG,4-21yrs  ,"10,05,971",5.0,16.2,3.9,122
2279,Senior Process Associate ,Tata-AIG,0-11yrs  ,"7,73,775",3.3,12.0,3.9,122
2280,Software Engineer ,Tata-AIG,0-8yrs  ,"2,19,579",1.0,3.5,3.9,122
2281,Process Associate ,Tata-AIG,0-9yrs  ,"2,67,842",1.6,4.7,3.9,122
2282,Software Developer ,Tata-AIG,0-9yrs  ,"13,97,426",8.8,22.1,3.9,122
2283,System Engineer Hardware ,Tata-AIG,0-6yrs  ,"2,26,644",1.1,4.0,3.9,122
2284,System Engineer ,Capita,0-10yrs  ,"17,79,975",6.5,27.0,3.8,122
2285,IT Analyst ,Capita,3-11yrs  ,"4,05,505",3.0,7.0,3.8,122
2286,AST Consultant ,Capita,6-15yrs  ,"8,95,259",3.5,17.0,3.8,122
2287,Assistant System Engineer ,Capita,0-4yrs  ,"3,44,569",1.4,5.8,3.8,122
2288,Associate Consultant ,Capita,4-21yrs  ,"3,35,616",1.2,5.1,3.8,122
2289,Senior Process Associate ,Capita,0-11yrs  ,"5,31,934",2.8,7.5,3.8,122
2290,Software Engineer ,Capita,0-8yrs  ,"8,47,453",4.8,10.5,3.8,122
2291,Process Associate ,Capita,0-9yrs  ,"3,81,548",2.1,5.5,3.8,122
2292,Software Developer ,Capita,0-9yrs  ,"23,30,501",11.8,31.1,3.8,122
2293,System Engineer Hardware ,Capita,0-6yrs  ,"8,16,007",5.3,10.0,3.8,122
2294,System Engineer ,Flex,0-10yrs  ,"4,03,124",2.0,6.0,3.1,121
2295,IT Analyst ,Flex,3-11yrs  ,"3,84,880",2.0,5.5,3.1,121
2296,AST Consultant ,Flex,6-15yrs  ,"5,90,757",3.0,8.2,3.1,121
2297,Assistant System Engineer ,Flex,0-4yrs  ,"3,68,320",2.5,5.0,3.1,121
2298,Associate Consultant ,Flex,4-21yrs  ,"9,53,200",3.5,13.5,3.1,121
2299,Senior Process Associate ,Flex,0-11yrs  ,"4,95,721",2.0,7.7,3.1,121
2300,Software Engineer ,Flex,0-8yrs  ,"3,91,292",2.0,7.0,3.1,121
2301,Process Associate ,Flex,0-9yrs  ,"2,62,798",1.3,3.9,3.1,121
2302,Software Developer ,Flex,0-9yrs  ,"3,13,855",2.0,4.0,3.1,121
2303,System Engineer Hardware ,Flex,0-6yrs  ,"7,81,421",3.9,10.0,3.1,121
2304,System Engineer ,Synechron,0-10yrs  ,"16,01,648",2.9,28.9,4.2,121
2305,IT Analyst ,Synechron,3-11yrs  ,"21,79,063",8.5,35.0,4.2,121
2306,AST Consultant ,Synechron,6-15yrs  ,"14,15,515",4.0,31.0,4.2,121
2307,Assistant System Engineer ,Synechron,0-4yrs  ,"17,01,754",5.2,28.0,4.2,121
2308,Associate Consultant ,Synechron,4-21yrs  ,"22,53,922",9.7,35.7,4.2,121
2309,Senior Process Associate ,Synechron,0-11yrs  ,"7,23,703",3.0,18.0,4.2,121
2310,Software Engineer ,Synechron,0-8yrs  ,"24,74,368",11.3,34.0,4.2,121
2311,Process Associate ,Synechron,0-9yrs  ,"9,75,337",3.6,21.0,4.2,121
2312,Software Developer ,Synechron,0-9yrs  ,"11,42,391",4.0,20.0,4.2,121
2313,System Engineer Hardware ,Synechron,0-6yrs  ,"5,37,916",2.4,12.0,4.2,121
2314,System Engineer ,Birlasoft,0-10yrs  ,"12,87,923",3.0,25.5,4.5,120
2315,IT Analyst ,Birlasoft,3-11yrs  ,"5,81,388",2.5,15.6,4.5,120
2316,AST Consultant ,Birlasoft,6-15yrs  ,"6,05,984",2.8,12.7,4.5,120
2317,Assistant System Engineer ,Birlasoft,0-4yrs  ,"18,71,584",6.9,31.2,4.5,120
2318,Associate Consultant ,Birlasoft,4-21yrs  ,"11,18,024",3.3,20.0,4.5,120
2319,Senior Process Associate ,Birlasoft,0-11yrs  ,"10,86,950",3.1,25.0,4.5,120
2320,Software Engineer ,Birlasoft,0-8yrs  ,"17,21,474",5.2,29.0,4.5,120
2321,Process Associate ,Birlasoft,0-9yrs  ,"15,42,226",4.5,27.0,4.5,120
2322,Software Developer ,Birlasoft,0-9yrs  ,"6,37,123",20.0,17.0,4.5,120
2323,System Engineer Hardware ,Birlasoft,0-6yrs  ,"13,06,409",5.9,23.0,4.5,120
2324,System Engineer ,Patanjali-Ayurved,0-10yrs  ,"4,31,423",1.8,6.6,4.0,119
2325,IT Analyst ,Patanjali-Ayurved,3-11yrs  ,"10,56,399",3.3,18.0,4.0,119
2326,AST Consultant ,Patanjali-Ayurved,6-15yrs  ,"5,86,749",3.0,8.5,4.0,119
2327,Assistant System Engineer ,Patanjali-Ayurved,0-4yrs  ,"2,64,223",1.0,4.8,4.0,119
2328,Associate Consultant ,Patanjali-Ayurved,4-21yrs  ,"3,17,647",1.5,4.5,4.0,119
2329,Senior Process Associate ,Patanjali-Ayurved,0-11yrs  ,"18,27,500",9.0,24.1,4.0,119
2330,Software Engineer ,Patanjali-Ayurved,0-8yrs  ,"2,37,365",1.0,5.0,4.0,119
2331,Process Associate ,Patanjali-Ayurved,0-9yrs  ,"6,31,858",1.0,15.5,4.0,119
2332,Software Developer ,Patanjali-Ayurved,0-9yrs  ,"2,54,949",1.1,4.0,4.0,119
2333,System Engineer Hardware ,Patanjali-Ayurved,0-6yrs  ,"2,04,662",1.0,3.8,4.0,119
2334,System Engineer ,Statestreet-HCL-Services,0-10yrs  ,"3,32,363",1.6,5.3,3.6,119
2335,IT Analyst ,Statestreet-HCL-Services,3-11yrs  ,"7,17,585",4.6,9.1,3.6,119
2336,AST Consultant ,Statestreet-HCL-Services,6-15yrs  ,"2,44,428",1.0,4.5,3.6,119
2337,Assistant System Engineer ,Statestreet-HCL-Services,0-4yrs  ,"2,82,340",1.6,5.3,3.6,119
2338,Associate Consultant ,Statestreet-HCL-Services,4-21yrs  ,"3,15,759",1.6,4.3,3.6,119
2339,Senior Process Associate ,Statestreet-HCL-Services,0-11yrs  ,"11,02,554",8.0,13.3,3.6,119
2340,Software Engineer ,Statestreet-HCL-Services,0-8yrs  ,"7,10,380",4.0,9.5,3.6,119
2341,Process Associate ,Statestreet-HCL-Services,0-9yrs  ,"4,99,496",3.2,7.0,3.6,119
2342,Software Developer ,Statestreet-HCL-Services,0-9yrs  ,"2,99,118",2.0,4.1,3.6,119
2343,System Engineer Hardware ,Statestreet-HCL-Services,0-6yrs  ,"6,88,075",5.2,8.2,3.6,119
2344,System Engineer ,Taj-Hotels-Resorts-and-Palaces,0-10yrs  ,"2,14,038",15.0,7.0,3.8,118
2345,IT Analyst ,Taj-Hotels-Resorts-and-Palaces,3-11yrs  ,"2,20,546",20.0,14.2,3.8,118
2346,AST Consultant ,Taj-Hotels-Resorts-and-Palaces,6-15yrs  ,"2,76,000",25.0,15.2,3.8,118
2347,Assistant System Engineer ,Taj-Hotels-Resorts-and-Palaces,0-4yrs  ,"3,21,402",10.0,5.5,3.8,118
2348,Associate Consultant ,Taj-Hotels-Resorts-and-Palaces,4-21yrs  ,"4,70,552",2.4,7.0,3.8,118
2349,Senior Process Associate ,Taj-Hotels-Resorts-and-Palaces,0-11yrs  ,"1,72,645",14.0,3.6,3.8,118
2350,Software Engineer ,Taj-Hotels-Resorts-and-Palaces,0-8yrs  ,"2,92,576",1.2,6.0,3.8,118
2351,Process Associate ,Taj-Hotels-Resorts-and-Palaces,0-9yrs  ,"4,17,337",2.1,9.0,3.8,118
2352,Software Developer ,Taj-Hotels-Resorts-and-Palaces,0-9yrs  ,"6,20,322",3.2,10.0,3.8,118
2353,System Engineer Hardware ,Taj-Hotels-Resorts-and-Palaces,0-6yrs  ,"1,58,335",10.0,3.2,3.8,118
2354,System Engineer ,Lenskart,0-10yrs  ,"4,04,709",2.4,6.3,3.2,117
2355,IT Analyst ,Lenskart,3-11yrs  ,"3,39,714",1.0,10.6,3.2,117
2356,AST Consultant ,Lenskart,6-15yrs  ,"2,81,455",20.0,5.1,3.2,117
2357,Assistant System Engineer ,Lenskart,0-4yrs  ,"4,35,342",2.7,6.4,3.2,117
2358,Associate Consultant ,Lenskart,4-21yrs  ,"2,73,732",20.0,5.0,3.2,117
2359,Senior Process Associate ,Lenskart,0-11yrs  ,"3,52,260",2.0,5.0,3.2,117
2360,Software Engineer ,Lenskart,0-8yrs  ,"9,98,751",5.5,15.1,3.2,117
2361,Process Associate ,Lenskart,0-9yrs  ,"2,90,218",2.1,4.0,3.2,117
2362,Software Developer ,Lenskart,0-9yrs  ,"2,96,200",2.2,3.9,3.2,117
2363,System Engineer Hardware ,Lenskart,0-6yrs  ,"3,16,687",2.0,4.8,3.2,117
2364,System Engineer ,AFCONS-Infrastructure,0-10yrs  ,"10,98,030",6.0,18.0,3.5,117
2365,IT Analyst ,AFCONS-Infrastructure,3-11yrs  ,"5,82,097",2.2,13.0,3.5,117
2366,AST Consultant ,AFCONS-Infrastructure,6-15yrs  ,"7,57,256",3.7,12.0,3.5,117
2367,Assistant System Engineer ,AFCONS-Infrastructure,0-4yrs  ,"7,49,392",3.9,12.5,3.5,117
2368,Associate Consultant ,AFCONS-Infrastructure,4-21yrs  ,"6,01,155",3.0,11.0,3.5,117
2369,Senior Process Associate ,AFCONS-Infrastructure,0-11yrs  ,"6,83,974",4.0,10.2,3.5,117
2370,Software Engineer ,AFCONS-Infrastructure,0-8yrs  ,"6,76,472",3.9,8.9,3.5,117
2371,Process Associate ,AFCONS-Infrastructure,0-9yrs  ,"5,87,905",2.0,12.1,3.5,117
2372,Software Developer ,AFCONS-Infrastructure,0-9yrs  ,"10,60,122",7.1,17.0,3.5,117
2373,System Engineer Hardware ,AFCONS-Infrastructure,0-6yrs  ,"6,13,157",2.5,10.0,3.5,117
2374,System Engineer ,State-Street-Syntel,0-10yrs  ,"3,74,296",1.5,6.1,3.6,117
2375,IT Analyst ,State-Street-Syntel,3-11yrs  ,"2,89,946",1.5,4.3,3.6,117
2376,AST Consultant ,State-Street-Syntel,6-15yrs  ,"5,94,946",2.7,8.5,3.6,117
2377,Assistant System Engineer ,State-Street-Syntel,0-4yrs  ,"2,61,123",1.5,3.6,3.6,117
2378,Associate Consultant ,State-Street-Syntel,4-21yrs  ,"8,35,171",4.9,12.9,3.6,117
2379,Senior Process Associate ,State-Street-Syntel,0-11yrs  ,"2,90,597",1.7,3.5,3.6,117
2380,Software Engineer ,State-Street-Syntel,0-8yrs  ,"3,54,300",2.1,4.4,3.6,117
2381,Process Associate ,State-Street-Syntel,0-9yrs  ,"3,51,397",2.0,4.9,3.6,117
2382,Software Developer ,State-Street-Syntel,0-9yrs  ,"5,95,345",3.6,7.2,3.6,117
2383,System Engineer Hardware ,State-Street-Syntel,0-6yrs  ,"2,22,420",1.0,3.2,3.6,117
2384,System Engineer ,Tech-Mahindra-Business-Services,0-10yrs  ,"3,49,166",17.5,6.0,4.5,116
2385,IT Analyst ,Tech-Mahindra-Business-Services,3-11yrs  ,"2,83,258",1.0,6.0,4.5,116
2386,AST Consultant ,Tech-Mahindra-Business-Services,6-15yrs  ,"4,16,751",2.2,6.7,4.5,116
2387,Assistant System Engineer ,Tech-Mahindra-Business-Services,0-4yrs  ,"5,10,882",24.0,10.2,4.5,116
2388,Associate Consultant ,Tech-Mahindra-Business-Services,4-21yrs  ,"2,51,706",1.2,5.5,4.5,116
2389,Senior Process Associate ,Tech-Mahindra-Business-Services,0-11yrs  ,"4,07,208",1.7,5.6,4.5,116
2390,Software Engineer ,Tech-Mahindra-Business-Services,0-8yrs  ,"2,76,761",1.0,5.5,4.5,116
2391,Process Associate ,Tech-Mahindra-Business-Services,0-9yrs  ,"5,57,371",2.2,10.0,4.5,116
2392,Software Developer ,Tech-Mahindra-Business-Services,0-9yrs  ,"2,80,485",1.1,6.9,4.5,116
2393,System Engineer Hardware ,Tech-Mahindra-Business-Services,0-6yrs  ,"2,93,814",1.2,4.6,4.5,116
2394,System Engineer ,Tractors-and-Farm-Equipment,0-10yrs  ,"3,06,019",1.8,4.5,3.3,116
2395,IT Analyst ,Tractors-and-Farm-Equipment,3-11yrs  ,"7,40,556",5.0,10.4,3.3,116
2396,AST Consultant ,Tractors-and-Farm-Equipment,6-15yrs  ,"7,75,162",5.3,9.9,3.3,116
2397,Assistant System Engineer ,Tractors-and-Farm-Equipment,0-4yrs  ,"1,91,465",1.0,2.6,3.3,116
2398,Associate Consultant ,Tractors-and-Farm-Equipment,4-21yrs  ,"6,89,968",4.2,8.8,3.3,116
2399,Senior Process Associate ,Tractors-and-Farm-Equipment,0-11yrs  ,"12,93,896",9.0,15.1,3.3,116
2400,Software Engineer ,Tractors-and-Farm-Equipment,0-8yrs  ,"10,81,583",7.5,13.9,3.3,116
2401,Process Associate ,Tractors-and-Farm-Equipment,0-9yrs  ,"3,67,492",1.9,5.0,3.3,116
2402,Software Developer ,Tractors-and-Farm-Equipment,0-9yrs  ,"4,30,254",1.0,10.5,3.3,116
2403,System Engineer Hardware ,Tractors-and-Farm-Equipment,0-6yrs  ,"6,00,339",3.7,7.0,3.3,116
2404,System Engineer ,Walmart,0-10yrs  ,"28,80,964",13.0,43.0,3.9,115
2405,IT Analyst ,Walmart,3-11yrs  ,"44,55,893",11.5,94.0,3.9,115
2406,AST Consultant ,Walmart,6-15yrs  ,"23,74,941",3.6,40.0,3.9,115
2407,Assistant System Engineer ,Walmart,0-4yrs  ,"2,71,670",1.1,4.5,3.9,115
2408,Associate Consultant ,Walmart,4-21yrs  ,"2,72,367",1.0,4.5,3.9,115
2409,Senior Process Associate ,Walmart,0-11yrs  ,"4,82,293",2.2,10.0,3.9,115
2410,Software Engineer ,Walmart,0-8yrs  ,"1,68,225",15.0,2.5,3.9,115
2411,Process Associate ,Walmart,0-9yrs  ,"30,07,262",15.6,41.0,3.9,115
2412,Software Developer ,Walmart,0-9yrs  ,"2,84,811",1.8,4.2,3.9,115
2413,System Engineer Hardware ,Walmart,0-6yrs  ,"45,10,230",19.0,77.0,3.9,115
2414,System Engineer ,Max-Healthcare,0-10yrs  ,"3,10,891",25.0,21.0,4.3,115
2415,IT Analyst ,Max-Healthcare,3-11yrs  ,"2,86,422",1.5,4.8,4.3,115
2416,AST Consultant ,Max-Healthcare,6-15yrs  ,"7,96,473",4.5,13.0,4.3,115
2417,Assistant System Engineer ,Max-Healthcare,0-4yrs  ,"3,42,756",1.8,4.6,4.3,115
2418,Associate Consultant ,Max-Healthcare,4-21yrs  ,"17,73,779",2.5,30.0,4.3,115
2419,Senior Process Associate ,Max-Healthcare,0-11yrs  ,"4,20,697",2.2,6.2,4.3,115
2420,Software Engineer ,Max-Healthcare,0-8yrs  ,"3,23,701",1.5,4.3,4.3,115
2421,Process Associate ,Max-Healthcare,0-9yrs  ,"4,58,954",3.0,5.8,4.3,115
2422,Software Developer ,Max-Healthcare,0-9yrs  ,"3,25,214",1.8,4.5,4.3,115
2423,System Engineer Hardware ,Max-Healthcare,0-6yrs  ,"3,50,375",1.9,4.4,4.3,115
2424,System Engineer ,AGS-Health,0-10yrs  ,"3,07,967",15.0,5.7,4.1,114
2425,IT Analyst ,AGS-Health,3-11yrs  ,"3,31,648",10.0,6.5,4.1,114
2426,AST Consultant ,AGS-Health,6-15yrs  ,"3,24,416",14.5,5.5,4.1,114
2427,Assistant System Engineer ,AGS-Health,0-4yrs  ,"4,98,373",2.0,7.5,4.1,114
2428,Associate Consultant ,AGS-Health,4-21yrs  ,"6,09,864",2.3,10.1,4.1,114
2429,Senior Process Associate ,AGS-Health,0-11yrs  ,"3,77,658",1.3,6.0,4.1,114
2430,Software Engineer ,AGS-Health,0-8yrs  ,"3,70,603",1.3,7.5,4.1,114
2431,Process Associate ,AGS-Health,0-9yrs  ,"2,84,774",1.1,4.0,4.1,114
2432,Software Developer ,AGS-Health,0-9yrs  ,"5,63,425",2.1,8.3,4.1,114
2433,System Engineer Hardware ,AGS-Health,0-6yrs  ,"3,61,997",1.7,6.0,4.1,114
2434,System Engineer ,Mankind-Pharma,0-10yrs  ,"4,68,816",3.0,6.5,4.0,114
2435,IT Analyst ,Mankind-Pharma,3-11yrs  ,"3,85,562",2.0,6.0,4.0,114
2436,AST Consultant ,Mankind-Pharma,6-15yrs  ,"3,88,266",20.0,8.0,4.0,114
2437,Assistant System Engineer ,Mankind-Pharma,0-4yrs  ,"6,28,418",4.3,9.9,4.0,114
2438,Associate Consultant ,Mankind-Pharma,4-21yrs  ,"5,44,187",3.4,7.9,4.0,114
2439,Senior Process Associate ,Mankind-Pharma,0-11yrs  ,"7,12,865",3.3,10.2,4.0,114
2440,Software Engineer ,Mankind-Pharma,0-8yrs  ,"10,43,730",7.0,13.5,4.0,114
2441,Process Associate ,Mankind-Pharma,0-9yrs  ,"3,51,546",2.1,4.3,4.0,114
2442,Software Developer ,Mankind-Pharma,0-9yrs  ,"3,62,386",2.4,5.0,4.0,114
2443,System Engineer Hardware ,Mankind-Pharma,0-6yrs  ,"2,82,243",1.2,3.6,4.0,114
2444,System Engineer ,Capgemini-Engineering,0-10yrs  ,"10,49,098",3.6,25.0,4.2,114
2445,IT Analyst ,Capgemini-Engineering,3-11yrs  ,"17,10,435",7.6,31.0,4.2,114
2446,AST Consultant ,Capgemini-Engineering,6-15yrs  ,"5,56,537",3.0,12.6,4.2,114
2447,Assistant System Engineer ,Capgemini-Engineering,0-4yrs  ,"6,14,514",2.1,10.0,4.2,114
2448,Associate Consultant ,Capgemini-Engineering,4-21yrs  ,"24,85,671",12.5,37.0,4.2,114
2449,Senior Process Associate ,Capgemini-Engineering,0-11yrs  ,"9,62,027",3.8,19.0,4.2,114
2450,Software Engineer ,Capgemini-Engineering,0-8yrs  ,"9,93,118",5.1,15.2,4.2,114
2451,Process Associate ,Capgemini-Engineering,0-9yrs  ,"10,57,395",4.0,34.2,4.2,114
2452,Software Developer ,Capgemini-Engineering,0-9yrs  ,"4,46,288",3.0,9.5,4.2,114
2453,System Engineer Hardware ,Capgemini-Engineering,0-6yrs  ,"4,60,236",2.0,7.0,4.2,114
2454,System Engineer ,Zensar-Technologies,0-10yrs  ,"6,75,411",2.0,16.5,4.6,113
2455,IT Analyst ,Zensar-Technologies,3-11yrs  ,"13,53,060",4.0,36.0,4.6,113
2456,AST Consultant ,Zensar-Technologies,6-15yrs  ,"17,90,103",6.0,28.0,4.6,113
2457,Assistant System Engineer ,Zensar-Technologies,0-4yrs  ,"6,60,745",2.4,12.0,4.6,113
2458,Associate Consultant ,Zensar-Technologies,4-21yrs  ,"4,38,149",2.6,8.5,4.6,113
2459,Senior Process Associate ,Zensar-Technologies,0-11yrs  ,"23,75,021",10.0,35.0,4.6,113
2460,Software Engineer ,Zensar-Technologies,0-8yrs  ,"4,11,233",2.5,6.5,4.6,113
